"text","tweet_id","created_at","Language","Week"
"Dior Beauty gifted BLACKPINK fans with exclusive New Year looks from JISOO with bold reds, natural golds, &amp; midnight kisses. Recreate &amp; shop all her looks now! By @taylor_louisem.

@BLACKPINK @ygofficialblink @Dior #JISOO #BLACKPINK #KimJisoo #Dior 

https://t.co/15HFrvbNab",1477418689435779070,"2022-01-01T23:17:19","en","1"
"Starting the year with a thank you, @Dior  🧡",1477343237094318080,"2022-01-01T18:17:30","en","1"
"Hairstylist Spotlight: Meet Celebrity Hairstylist, Dior Sovoa https://t.co/SZvdu8jNWM 
@MariahCarey 
@MariahTrends 
@treacletots 
@Dior 
This is Dior who is keeping MC looking so beautiful.",1477274979620245500,"2022-01-01T13:46:16","en","1"
"Mr. ""DR"" Ben, that means @DIOR thinks, he has brains compared to others.😉

These ""doctors""...they are informed by reading the tabloids.
#JusticeForJohnnyDepp https://t.co/BYGgXO7ycu",1477330158965211140,"2022-01-01T17:25:32","en","1"
"See this Instagram post by @dior https://t.co/mewzRXbUha jisoo  블랙핑크 지수 #블랙핑크 #지수 #BLACKPINK #JISOO",1477118322177052670,"2022-01-01T03:23:46","en","1"
"“Inclusivity..it’s not something you can change with a slogan..it’s like sustainability..you can’t just make a t-shirt in organic cotton and that’s it- it needs a change in mentality..”
@TalktoAlJazeera sits down with @Dior CD Maria Grazia Chiuri https://t.co/ekEH3P3Rjt",1477312122954694660,"2022-01-01T16:13:51","en","1"
"This @Dior homme commercial might be the dumbest ad on television.",1477382352250757120,"2022-01-01T20:52:55","en","1"
"Has anyone used the @twigcard yet? It's supposed to give you instant cash for your items, which sounds great. 

I've uploaded a @Dior purse, a @dkny evening bag and a @juicycouture adorable bag with charm and it's offered me £22 for all!

Anyone seen success? 

#depop #ebay #twig",1477340822911832060,"2022-01-01T18:07:54","en","1"
"1 TIME FOR THE CULTURE! #sneakerhead #hiphopculture  #brands #sneakerculture #dior #brandjordan🔥 #lifesryle #sneakers @thespinfirm @dior https://t.co/DRIR7lTfkH",1477338498420072450,"2022-01-01T17:58:40","en","1"
"#BSC #Solana #mtk #metakings #Metaverse 
@Dior @PoundedYamIsBae @Prada https://t.co/oCXhqpNBkg",1477152529561665540,"2022-01-01T05:39:41","en","1"
".@Simone_Biles brought sporty style to a party bus in Texas, wearing athletic leggings with @Dior sneakers. 
https://t.co/UbLi4I6CVd",1477752144971407360,"2022-01-02T21:22:21","en","2"
"Because it truly is an art form of its own

#Dior @Dior #Jewellery #Diamonds #RoseDesVents 
https://t.co/m362cK76DK",1477610628441387010,"2022-01-02T12:00:01","en","2"
"I think now dior products have alived in Africa @Dior",1477679231480086530,"2022-01-02T16:32:37","en","2"
"Finally👟 @dior #christiandior https://t.co/1Sw8nMxw20",1477512895789514750,"2022-01-02T05:31:39","en","2"
"Ty @Dior for supporting #JohnnyDepp
#JusticeForJohnnyDepp
#AmberHeardIsAProvenLiar
#AmberHeardIsAnAbuser

https://t.co/cUH6x7yalK",1477709676297043970,"2022-01-02T18:33:36","en","2"
"DREAM IT                                                                              BELIEVE IT                                                            ACHIEVE IT                                                         @SirPatStew  @JodelStoriesHub @rihanna @BillGates @Dior",1477583945462169600,"2022-01-02T10:13:59","en","2"
"Should I rock my @Dior Lows to the ⛳️ course only to swap into these for tee time?  What do you think @PaigeSpiranac? 🤔

#AirDior #sneakers #Golf https://t.co/m3d16GJ5Ly",1478128676483043330,"2022-01-03T22:18:33","en","2"
"Has anyone ever tried the glow booster from @Dior ? How did you like it ?",1478075725022470140,"2022-01-03T18:48:08","en","2"
"Oppo A95 - Full Phone Specifications
#Cowboys #Bengals #AZvsDAL #GETTR
#Chargers #49ers #Brady #Panthers
#mobile #oppo @Xbox @hm @Dior @Nike @YSL 
@adidas @Burberry @justinbieber 
@BarackObama  @ladygaga @ddlovato 
@BillGates @britneyspears @elonmusk 
https://t.co/9Wvy87Xn8G",1477813460108935170,"2022-01-03T01:25:59","en","2"
"Oppo A95 - Full Phone Specifications
#Cowboys #Bengals #AZvsDAL #GETTR
#Chargers #49ers #Brady #Panthers
#mobile #oppo
@PlayStation @Xbox @CHANEL @SamsungMobile
@Starbucks @VictoriasSecret @marcjacobs
@hm @Burberry @Dior @Nike
https://t.co/WQe1f47YJx",1477810110248353790,"2022-01-03T01:12:41","en","2"
"New drop #nft luxury bus @chanelofficial @dior #nftcollectorsbase #nftfuture #nftart #nftcollector #crypto #cryptocurrency @billionairedogsnft @nft_collectors_club @opensea @rarible https://t.co/iUL4pajwr4",1478117522146795520,"2022-01-03T21:34:14","en","2"
"Black child the time is now to make history 🖤 well done @Dior https://t.co/zNmpEON2ME",1478360232506142720,"2022-01-04T13:38:40","en","2"
"Hello @Dior I promise I will buy Dior products when I will start earning but the condition is that you have to give us a photoshoot of Sehun &amp; Jisoo together 🥰
Is the deal final ? 
#JISOO #SEHUN",1478320565450469380,"2022-01-04T11:01:03","en","2"
"📷 @barbie for @wearegoatmag (2021) Photo and art: @kikoalcazar Production: @kleykafe &amp; @patrizio_niccolai Clothes: @dior @mattel #art #illustration #kikoalcazar #artist #photo #photographer #portrait #designer #creative #colorful #pop... https://t.co/y15WSVNote",1478323443191922690,"2022-01-04T11:12:29","en","2"
"Dear Dior, please look at this couple, isn't this a perfect match for a couple photoshoot? @Dior https://t.co/mQP2Zokp2J",1478327717405724670,"2022-01-04T11:29:28","en","2"
"MANNEQUIN LIKE NOSE .... HANDSOMENESS ITSELF 🤭🔥

#SEHUN #세훈 #EXO #Dior 
#DiorGlobalAmbassadorSEHUN @weareoneEXO @Dior https://t.co/eNBjfzDJl0",1478295917174276100,"2022-01-04T09:23:06","en","2"
"The LVMH-owned house is top of the Vogue Business Index for the first time. Dior Couture chairman and CEO Pietro Beccari shares what’s on his agenda for the year ahead.

블랙핑크 지수 #블랙핑크 #지수
#JISOO #BLACKPINK @BLACKPINK @Dior 
https://t.co/uRRp9Ec4xA",1478295037339267070,"2022-01-04T09:19:36","en","2"
"엑소 세훈, 짙은 이목구비에 시선 강탈 ..팬심 녹이는 잘생김 (출처 : 헤럴드POP | 네이버 TV연예) https://t.co/13KY4QjNpq

#DiorSacai #세훈 #SEHUN #엑소세훈 #오세훈 #OHSEHUN #Dior @Dior",1478352427862487040,"2022-01-04T13:07:39","en","2"
